[2024-08-22 09:33:23,158][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-23-158290.log
[2024-08-22 09:33:23,161][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
[2024-08-22 09:33:26,049][basic_search][INFO][generic_smbo.py:310] Iter 56, objectives: [3830504.0].
[2024-08-22 09:33:26,097][basic_search][INFO][generic_smbo.py:310] Iter 57, objectives: [3855146.0].
[2024-08-22 09:33:26,163][basic_search][INFO][generic_smbo.py:310] Iter 58, objectives: [4197753.0].
[2024-08-22 09:33:26,217][basic_search][INFO][generic_smbo.py:310] Iter 59, objectives: [3863361.0].
[2024-08-22 09:33:26,272][basic_search][INFO][generic_smbo.py:310] Iter 60, objectives: [4565832.0].
[2024-08-22 09:33:26,323][basic_search][INFO][generic_smbo.py:310] Iter 61, objectives: [3982642.0].
[2024-08-22 09:33:26,439][basic_search][INFO][generic_smbo.py:310] Iter 62, objectives: [3809257.0].
[2024-08-22 09:33:26,595][basic_search][INFO][generic_smbo.py:310] Iter 63, objectives: [3850153.0].
[2024-08-22 09:33:26,696][basic_search][INFO][generic_smbo.py:310] Iter 64, objectives: [3964056.0].
[2024-08-22 09:33:26,910][basic_search][INFO][generic_smbo.py:310] Iter 65, objectives: [4365862.0].
[2024-08-22 09:33:27,034][basic_search][INFO][generic_smbo.py:310] Iter 66, objectives: [4390330.0].
[2024-08-22 09:33:27,215][basic_search][INFO][generic_smbo.py:310] Iter 67, objectives: [4356456.0].
[2024-08-22 09:33:27,420][basic_search][INFO][generic_smbo.py:310] Iter 68, objectives: [4259183.0].
[2024-08-22 09:33:27,547][basic_search][INFO][generic_smbo.py:310] Iter 69, objectives: [3657990.0].
[2024-08-22 09:33:27,668][basic_search][INFO][generic_smbo.py:310] Iter 70, objectives: [3938324.0].
[2024-08-22 09:33:27,721][basic_search][INFO][generic_smbo.py:310] Iter 71, objectives: [4117270.0].
[2024-08-22 09:33:27,772][basic_search][INFO][generic_smbo.py:310] Iter 72, objectives: [3835463.0].
[2024-08-22 09:33:27,818][basic_search][INFO][generic_smbo.py:310] Iter 73, objectives: [3504484.0].
[2024-08-22 09:33:27,879][basic_search][INFO][generic_smbo.py:310] Iter 74, objectives: [4640458.0].
[2024-08-22 09:33:28,032][basic_search][INFO][generic_smbo.py:310] Iter 75, objectives: [3770110.0].
[2024-08-22 09:33:28,124][basic_search][INFO][generic_smbo.py:310] Iter 76, objectives: [4321245.0].
[2024-08-22 09:33:28,372][basic_search][INFO][generic_smbo.py:310] Iter 77, objectives: [3351138.0].
[2024-08-22 09:33:28,439][basic_search][INFO][generic_smbo.py:310] Iter 78, objectives: [4513783.0].
[2024-08-22 09:33:28,508][basic_search][INFO][generic_smbo.py:310] Iter 79, objectives: [3756168.0].
[2024-08-22 09:33:28,558][basic_search][INFO][generic_smbo.py:310] Iter 80, objectives: [3628829.0].
[2024-08-22 09:33:28,616][basic_search][INFO][generic_smbo.py:310] Iter 81, objectives: [4358396.0].
[2024-08-22 09:33:28,669][basic_search][INFO][generic_smbo.py:310] Iter 82, objectives: [3845296.0].
[2024-08-22 09:33:28,724][basic_search][INFO][generic_smbo.py:310] Iter 83, objectives: [4019325.0].
[2024-08-22 09:33:28,783][basic_search][INFO][generic_smbo.py:310] Iter 84, objectives: [4335598.0].
[2024-08-22 09:33:28,840][basic_search][INFO][generic_smbo.py:310] Iter 85, objectives: [4095128.0].
[2024-08-22 09:33:28,895][basic_search][INFO][generic_smbo.py:310] Iter 86, objectives: [3923965.0].
[2024-08-22 09:33:28,951][basic_search][INFO][generic_smbo.py:310] Iter 87, objectives: [4025338.0].
[2024-08-22 09:33:29,008][basic_search][INFO][generic_smbo.py:310] Iter 88, objectives: [3946495.0].
[2024-08-22 09:33:29,064][basic_search][INFO][generic_smbo.py:310] Iter 89, objectives: [3941234.0].
[2024-08-22 09:33:29,120][basic_search][INFO][generic_smbo.py:310] Iter 90, objectives: [4056082.0].
[2024-08-22 09:33:29,171][basic_search][INFO][generic_smbo.py:310] Iter 91, objectives: [3509611.0].
[2024-08-22 09:33:29,223][basic_search][INFO][generic_smbo.py:310] Iter 92, objectives: [3548576.0].
[2024-08-22 09:33:29,278][basic_search][INFO][generic_smbo.py:310] Iter 93, objectives: [3873743.0].
[2024-08-22 09:33:29,335][basic_search][INFO][generic_smbo.py:310] Iter 94, objectives: [4083117.0].
[2024-08-22 09:33:29,394][basic_search][INFO][generic_smbo.py:310] Iter 95, objectives: [4165389.0].
[2024-08-22 09:33:29,451][basic_search][INFO][generic_smbo.py:310] Iter 96, objectives: [3972139.0].
[2024-08-22 09:33:29,506][basic_search][INFO][generic_smbo.py:310] Iter 97, objectives: [3797045.0].
[2024-08-22 09:33:29,564][basic_search][INFO][generic_smbo.py:310] Iter 98, objectives: [4117880.0].
[2024-08-22 09:33:29,622][basic_search][INFO][generic_smbo.py:310] Iter 99, objectives: [3995888.0].
[2024-08-22 09:33:29,672][basic_search][INFO][generic_smbo.py:310] Iter 100, objectives: [3160411.0].
[2024-08-22 09:33:29,734][basic_search][INFO][generic_smbo.py:310] Iter 101, objectives: [4321736.0].
[2024-08-22 09:33:29,790][basic_search][INFO][generic_smbo.py:310] Iter 102, objectives: [3730373.0].
